"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","Factors affecting runoff"
"45010","Haddeo","Hartford","50","1973","1979","No","Yes","No",""
"45011","Barle","Brushford","128","1968","","No","Yes","Yes","N"
"45012","Creedy","Cowley","262","1964","","Yes","Yes","Yes","GE"
"45013","Tale","Fairmile","34","1978","","Yes","Yes","Yes","N"
"45816","Haddeo","Upton","7","1993","","Yes","No","No",""
"45817","Unnamed Stream","Upton","2","1993","","Yes","No","No",""
"45818","Withiel Florey Stream","Bessom Bridge","10","1992","","Yes","No","No",""
"46002","Teign","Preston","381","1956","2007","No","Yes","No","SRPE"
"46003","Dart","Austins Bridge","248","1958","","Yes","Yes","Yes","SR"
"46005","East Dart","Bellever","22","1964","","Yes","Yes","Yes","N"
"46006","Erme","Ermington","44","1973","","Yes","Yes","Yes","PEI"
"46007","West Dart","Dunnabridge","48","1972","","Yes","Yes","Yes","P"
"46008","Avon","Loddiswell","102","1971","","Yes","Yes","Yes","SR"
"46013","Bovey","Bovey Parke","87","2004","","Yes","Yes","Yes",""
"46014","Teign","Chudleigh","232","2004","","Yes","Yes","Yes",""
"47001","Tamar","Gunnislake","917","1956","","Yes","Yes","Yes","SRPEI"
"47002","Tamar","Werrington","232","1956","1961","No","Yes","No",""
"47003","Tavy","Lopwell","206","1956","1980","No","Yes","No","PGEIH"
"47004","Lynher","Pillaton Mill","136","1961","","Yes","Yes","Yes","P"
"47005","Ottery","Werrington Park","121","1963","","Yes","Yes","Yes","GE"
"47006","Lyd","Lifton Park","223","1975","","Yes","Yes","Yes","SGEI"
"47007","Yealm","Puslinch","55","1963","","Yes","Yes","Yes","PI"
"47008","Thrushel","Tinhay","113","1969","","Yes","Yes","Yes","SH"
